id, name
com.skms.android.agent,Unknown
com.skype.raider,Skype 
com.test.LTEfunctionality,Unknown
com.tripadvisor.tripadvisor,"Tripadvisor: Hotels, Activities & Restaurants "
com.trustonic.tuiservice,Unknown
com.vlingo.midas,Unknown
com.wsomacp,SAMSUNG EMAIL
com.wssnps,Unknown
com.yelp.android.samsungedge,Unknown
comflipboard.app,Unknown
comflipboard.boxer.app,Unknown
comtv.peel.samsung.app,Unknown
com.samsung.android.voc,Samsung Members
